     15 グルナス	さん
     12 さん	は
     10 て	いる
      8 れ	た
      8 さ	れ
      8 AFPBB	News
      7 と	結婚
      7 し	て
      6 性的	暴行
      5 加害	者
      5 を	受け
      5 た	男
      5 し	た
      4 自分	の
      4 者	の
      4 者	と
      4 結婚	する
      4 男	と
      4 暴行	を
      4 娘	を
      4 上	の
      4 に	性的
      4 た	こと
      3 襲っ	た
      3 罪	で
      3 私	は
      3 氏	は
      3 女性	の
      3 受け	て
      3 アフガニスタン	の
      3 を	襲っ
      3 を	受け入れ
      3 まし	た
      3 は	語る
      3 は	私
      3 の	女性
      3 なっ	て
      3 と	グルナス
      3 た	私
      3 さん	の
      3 こと	に
      3 いる	グルナス
      3 AFP	大学生
      3 12	月
      2 閉店	へ
      2 釈放	さ
      2 道徳	上
      2 通わ	せ
      2 足止め	の
      2 赦免	を
      2 赤ちゃん	を
      2 豪	に
      2 請求	を
      2 認定	要請
      2 被害	者
      2 良心	に
      2 自分	を
      2 結婚	し
      2 米	大統領
      2 私	を
      2 男	を
      2 特集	一覧
      2 演説	対
      2 治安	上
      2 決定	し
      2 東京	地裁
      2 月	20
      2 最善	の
      2 時計	の
      2 時代	の
      2 時事	トレンド
      2 拘束	さ
      2 必要	です
      2 強姦	さ
      2 年	12
      2 対	メキシコ
      2 容疑	者
      2 客	不足
      2 定住	認定
      2 守る	ため
      2 学校	に
      2 女性	国連
      2 女性	加害
      2 女性	が
      2 大統領	国民
      2 地裁	ゴーン
      2 国連	が
      2 国民	に
      2 国境	人道
      2 向け	演説
      2 向け	レストラン
      2 合宿	を
      2 受け入れ	まし
      2 受け	道徳
      2 取り消し	請求
      2 反する	フィンランド
      2 勾留	取り消し
      2 初	の
      2 住む	ところ
      2 代表	FW
      2 今	も
      2 人道	上
      2 不足	で
      2 上	治安
      2 レストラン	客
      2 リー	氏
      2 モト	リー
      2 メキシコ	国境
      2 フィンランド	代表
      2 パリ	初
      2 ヌーディスト	向け
      2 トレンド	に
      2 トランプ	米
      2 タイ	で
      2 サウジ	女性
      2 ゴーン	容疑
      2 カブール	Kabul
      2 カタール	合宿
      2 アート	と
      2 アジア	オセアニア
      2 を	決定
      2 を	守る
      2 を	学校
      2 を	却下
      2 を	ボイコット
      2 られ	た
      2 よう	な
      2 ませ	ん
      2 は	自分
      2 の	饗宴
      2 の	遺物
      2 の	被害
      2 の	罪
      2 の	男
      2 の	最善
      2 の	方策
      2 の	危機
      2 の	勾留
      2 の	ヌーディスト
      2 の	サウジ
      2 の	お
      2 に	通わ
      2 に	注目
      2 に	定住
      2 に	向け
      2 に	反する
      2 に	は
      2 に	なっ
      2 ない	アフガン
      2 と	時計
      2 と	娘
      2 で	閉店
      2 で	足止め
      2 で	赤ちゃん
      2 で	有罪
      2 て	い
      2 だっ	た
      2 ため	の
      2 ため	に
      2 た	女性
      2 た	の
      2 せ	たい
      2 する	しか
      2 する	こと
      2 しか	ない
      2 こと	を
      2 が	豪
      2 が	必要
      2 が	カタール
      2 から	の
      2 お	問い合わせ
      2 いる	と
      2 ある	と
      2 c	AFP
      2 News	特集
      2 News	AFPBB
      2 FW	が
      2 AFP	の
      2 2011	年
      2 20	日
      1 饗宴	アート
      1 饗宴	ENGINE
      1 顔	や
      1 韓国	北朝鮮
      1 非公開	の
      1 静か	な
      1 青い	ブルカ
      1 難しい	不幸
      1 関心	が
      1 関係	法人
      1 間	に
      1 野球	アメフト
      1 釈放	後
      1 釈放	まで
      1 避難	施設
      1 遺物	と
      1 遺物	が
      1 選択肢	か
      1 遭っ	て
      1 過ぎ	て
      1 運営	会社
      1 遊ん	で
      1 進攻	から
      1 進む	こと
      1 週間	が
      1 逮捕	し
      1 迫害	を
      1 軍	主導
      1 身	を
      1 身	の
      1 身	に
      1 足もと	の
      1 超	保守
      1 起訴	する
      1 赦免	さ
      1 購入	の
      1 資料	写真
      1 警察	に
      1 請願	し
      1 調	で
      1 語る	残念
      1 語る	娘
      1 語る	加害
      1 語る	だが
      1 語	っ
      1 誓い	を
      1 認識	し
      1 訴え	て
      1 設定	を
      1 記者	コラム
      1 記憶	に
      1 記事	サイト
      1 記事	の
      1 訂正	記事
      1 親類	の
      1 視点	で
      1 規約	運営
      1 見通し	で
      1 見渡し	て
      1 見出し	記事
      1 覆う	衣装
      1 要請	東京
      1 要請	タイ
      1 被害	に
      1 衣装	を
      1 行わ	れ
      1 自転車	その他
      1 自身	と
      1 自分	自身
      1 自分	に
      1 脅し	を
      1 育て	た
      1 肉体	的
      1 者	だっ
      1 考	える
      1 罪	を
      1 編集	チーム
      1 続く	女性
      1 結婚	の
      1 結婚	せ
      1 結婚	が
      1 経済	社会
      1 紛争	環境
      1 精神	的
      1 米国	人
      1 米	軍
      1 科学	テクノロジー
      1 私	も
      1 私	の
      1 私	と
      1 私	だっ
      1 私	たち
      1 禁じ	ます
      1 社会	戦争
      1 社会	強姦
      1 社会	一覧
      1 社会	で
      1 社会	から
      1 確保	し
      1 知ら	ず
      1 目指し	て
      1 的	精神
      1 的	性的
      1 的	な
      1 発表	し
      1 発信	地
      1 留め	て
      1 男	は
      1 男	に
      1 申し立て	拘束
      1 用	の
      1 生活	を
      1 生まれ	た
      1 環境	科学
      1 現在	超
      1 現在	JavaScript
      1 特集	Fashion
      1 特集	AFP
      1 父親	が
      1 無断	使用
      1 無実	な
      1 無効	に
      1 活動	家
      1 注目	時事
      1 注目	ニュース
      1 注目	グローバル
      1 法人	の
      1 民主	化
      1 殺害	の
      1 殺す	と
      1 残念	ながら
      1 歴史	サイト
      1 歳	くらい
      1 歩く	女性
      1 正確	な
      1 機能	を
      1 権利	の
      1 模索	し
      1 検察	当局
      1 枚	の
      1 服役	中
      1 服役	し
      1 有罪	に
      1 有罪	と
      1 有効	に
      1 月	に
      1 月	5
      1 書	に
      1 暴行	受け
      1 暴行	の
      1 暴行	さ
      1 暴力	または
      1 時計	インフォメーション
      1 旧	支配
      1 日	撮影
      1 日	国際
      1 日	に
      1 日	AFP
      1 日	14
      1 施設	の
      1 方策	を
      1 方策	で
      1 方向	け
      1 文化	に
      1 文化	が
      1 教徒	の
      1 政治	経済
      1 政府	に
      1 支配	勢力
      1 支援	する
      1 撮影	資料
      1 掲載	し
      1 採用	情報
      1 捕らえ	られ
      1 指摘	する
      1 持っ	て
      1 抱え	て
      1 批判	を
      1 戦争	紛争
      1 感謝	し
      1 情報	訂正
      1 恵まれ	ない
      1 恐れ	て
      1 性的	暴力
      1 応じ	た
      1 後	赦免
      1 後	の
      1 彼女	に
      1 彼	を
      1 彼	は
      1 彼	と
      1 影響	力
      1 当局	は
      1 強制	結婚
      1 強い	られ
      1 弁護士	を
      1 床	で
      1 広告	の
      1 幸運	に
      1 年齢	を
      1 年間	服役
      1 年	先
      1 年	が
      1 寄せ	られ
      1 家族	の
      1 家	ら
      1 実際	の
      1 安全	を
      1 子ども	の
      1 娘	の
      1 娘	と
      1 娘	が
      1 姦通	罪
      1 女性	用
      1 女性	は
      1 女性	たち
      1 女性	2011
      1 夫	に
      1 大統領	や
      1 大統領	が
      1 大学生	記憶
      1 大学生	Photo
      1 大学生	AFP
      1 多く	の
      1 場所	に
      1 報道	関係
      1 報道	写真
      1 報告	書
      1 地	カブール
      1 国際	社会
      1 国際	ニュース
      1 国際	NGO
      1 問合せ	Top
      1 問い合わせ	広告
      1 問い合わせ	OTHER
      1 唯一	の
      1 呼	び
      1 名誉	を
      1 台湾	韓国
      1 口	調
      1 受け入れ	て
      1 受け	た
      1 取材	中
      1 取材	に
      1 取り戻す	ため
      1 却下	東京
      1 却下	トランプ
      1 危険	を
      1 危機	パリ
      1 危機	トランプ
      1 医師	に
      1 北米	中南米
      1 北朝鮮	アジア
      1 北	アフリカ
      1 化	を
      1 勢力	の
      1 務める	米国
      1 動画	購入
      1 加え	た
      1 力	を
      1 利用	規約
      1 利用	する
      1 刑務所	内
      1 写真	見出し
      1 写真	特集
      1 写真	時事
      1 写真	動画
      1 写真	で
      1 写真	c
      1 内	で
      1 先	まで
      1 先	に
      1 兄弟	たち
      1 兄弟	から
      1 保守	的
      1 使用	を
      1 余儀な	くされ
      1 体	を
      1 低	さ
      1 会社	INFO
      1 人	の
      1 人	が
      1 五輪	ワールドカップ
      1 事件	に
      1 主導	の
      1 中東	北
      1 中国	台湾
      1 中南米	Submit
      1 中	グルナス
      1 中	の
      1 中	で
      1 世話	を
      1 世界	を
      1 与え	て
      1 不幸	な
      1 一覧	編集
      1 一覧	へ
      1 一覧	AFPBB
      1 一	枚
      1 ワールドカップ	Video
      1 ロシア	CIS
      1 リリース	AFP
      1 ライフ	Sports
      1 ヨーロッパ	アフリカ
      1 モーター	野球
      1 モトリー	Kimberley
      1 メディア	報道
      1 マップ	CONTACT
      1 ポリシー	利用
      1 ポリシー	プライバシー
      1 ボイコット	良心
      1 ボイコット	Special
      1 ベストショット	写真
      1 ヘルプ	採用
      1 プレス	リリース
      1 プライバシー	ポリシー
      1 ブルカ	イスラム
      1 バスケ	モーター
      1 ハミド	カルザイ
      1 ニュース	社会
      1 ニュース	アート
      1 ニュース	を
      1 ニュース	AFPBB
      1 テニス	ゴルフ
      1 テクノロジー	ライフ
      1 チーム	が
      1 タリバン	時代
      1 タリバン	Taliban
      1 スタイル	時計
      1 シェア	強姦
      1 サッカー	テニス
      1 サイト	マップ
      1 サイト	ポリシー
      1 サイト	に関する
      1 サイト	から
      1 ゴルフ	バスケ
      1 コラム	特集
      1 グローバル	な
      1 グルナス	Gulnaz
      1 キンバリー	モトリー
      1 カルザイ	大統領
      1 カルザイ	H
      1 カブール	アフガニスタン
      1 オックスファム	Oxfam
      1 オセアニア	北米
      1 オセアニア	アフガニスタン
      1 ウインター	自転車
      1 インフォメーション	Area
      1 イスラム	教徒
      1 アメフト	ウインター
      1 アフリカ	中東
      1 アフリカ	ロシア
      1 アフガン	アフガニスタン
      1 アフガン	2011
      1 アフガニスタン	社会
      1 アフガニスタン	文化
      1 アフガニスタン	女性
      1 アフガニスタン	カブール
      1 アフガニスタン	アジア
      1 アフガニスタン	に
      1 アフガニスタン	この
      1 ん	私
      1 ん	彼
      1 を	逮捕
      1 を	身
      1 を	起訴
      1 を	訴え
      1 を	見渡し
      1 を	覆う
      1 を	育て
      1 を	禁じ
      1 を	確保
      1 を	知ら
      1 を	目指し
      1 を	申し立て
      1 を	殺す
      1 を	模索
      1 を	有効
      1 を	旧
      1 を	支援
      1 を	持っ
      1 を	抱え
      1 を	強い
      1 を	取り戻す
      1 を	務める
      1 を	加え
      1 を	利用
      1 を	余儀な
      1 を	与え
      1 を	シェア
      1 を	たて
      1 を	し
      1 を	おそれ
      1 を	おかし
      1 を	え
      1 れ	釈放
      1 られ	て
      1 ら	は
      1 よる	と
      1 や	検察
      1 や	体
      1 も	難しい
      1 も	身
      1 も	自分
      1 も	続く
      1 も	彼
      1 も	なお
      1 みよ	う
      1 まとめ	た
      1 まで	服役
      1 まで	に
      1 または	強制
      1 ます	すべて
      1 ます	AFPBB
      1 ほしい	c
      1 べき	で
      1 へ	良心
      1 へ	メディア
      1 へ	パリ
      1 び	アフガニスタン
      1 ば	なら
      1 は	青い
      1 は	赦免
      1 は	警察
      1 は	語
      1 は	親類
      1 は	現在
      1 は	無実
      1 は	恐れ
      1 は	性的
      1 は	彼
      1 は	加害
      1 は	兄弟
      1 は	グルナス
      1 は	カブール
      1 は	アフガニスタン
      1 は	それ
      1 は	その
      1 は	いとこ
      1 は	JavaScript
      1 は	5
      1 のに	どうして
      1 の	顔
      1 の	間
      1 の	釈放
      1 の	避難
      1 の	選択肢
      1 の	進攻
      1 の	身
      1 の	足もと
      1 の	赦免
      1 の	設定
      1 の	見通し
      1 の	脅し
      1 の	生活
      1 の	父親
      1 の	無断
      1 の	民主
      1 の	歴史
      1 の	正確
      1 の	機能
      1 の	権利
      1 の	方向
      1 の	批判
      1 の	弁護士
      1 の	床
      1 の	安全
      1 の	夫
      1 の	場所
      1 の	報道
      1 の	名誉
      1 の	取材
      1 の	危険
      1 の	刑務所
      1 の	兄弟
      1 の	低
      1 の	今
      1 の	事件
      1 の	中
      1 の	世話
      1 の	ハミド
      1 の	タリバン
      1 の	グルナス
      1 の	キンバリー
      1 の	は
      1 の	と
      1 の	だ
      1 の	お知らせ
      1 の	87
      1 に関する	ヘルプ
      1 に	関心
      1 に	釈放
      1 に	遭っ
      1 に	進む
      1 に	請願
      1 に	自分
      1 に	発表
      1 に	留め
      1 に	生まれ
      1 に	掲載
      1 に	感謝
      1 に	恵まれ
      1 に	応じ
      1 に	影響
      1 に	女性
      1 に	医師
      1 に	住む
      1 に	グルナス
      1 に	よる
      1 に	なる
      1 に	つけ
      1 に	し
      1 に	ある
      1 に	ありふれ
      1 なる	と
      1 なら	ない
      1 なっ	た
      1 なけれ	ば
      1 なく	なっ
      1 ながら	この
      1 なお	アフガニスタン
      1 ない	私
      1 ない	子ども
      1 ない	と
      1 な	視点
      1 な	幸運
      1 な	年齢
      1 な	口
      1 な	タリバン
      1 な	アフガニスタン
      1 な	のに
      1 な	こと
      1 どうして	拘束
      1 として	も
      1 ところ	を
      1 ところ	が
      1 という	グルナス
      1 と	語る
      1 と	誓い
      1 と	認識
      1 と	自分
      1 と	考
      1 と	私
      1 と	政府
      1 と	指摘
      1 と	呼
      1 と	モト
      1 と	アフガニスタン
      1 と	の
      1 と	なっ
      1 と	いう
      1 です	娘
      1 です	と
      1 で	男
      1 で	娘
      1 で	世界
      1 で	カルザイ
      1 で	は
      1 で	の
      1 で	ない
      1 で	つづる
      1 で	い
      1 で	ある
      1 で	AFP
      1 で	2
      1 て	静か
      1 て	行わ
      1 て	結婚
      1 て	私
      1 て	歩く
      1 て	姦通
      1 て	先
      1 て	グルナス
      1 て	も
      1 て	みよ
      1 て	ほしい
      1 て	と
      1 て	くれる
      1 て	ください
      1 て	おり
      1 て	おく
      1 つづる	AFP
      1 つけ	て
      1 っ	た
      1 だが	加害
      1 だが	グルナス
      1 だ	国際
      1 だ	という
      1 たて	まし
      1 たち	を
      1 たち	は
      1 たち	に
      1 たい	彼女
      1 たい	グルナス
      1 た	釈放
      1 た	迫害
      1 た	被害
      1 た	罪
      1 た	米
      1 た	注目
      1 た	性的
      1 た	後
      1 た	娘
      1 た	報告
      1 た	取材
      1 た	住む
      1 た	グルナス
      1 た	アフガニスタン
      1 た	として
      1 た	と
      1 た	だが
      1 た	けれど
      1 た	が
      1 それ	から
      1 その他	五輪
      1 その	よう
      1 せ	ざる
      1 ず	20
      1 する	活動
      1 する	娘
      1 する	べき
      1 する	ため
      1 すべて	の
      1 し	家族
      1 し	なけれ
      1 し	13
      1 ざる	を
      1 さん	を
      1 さらに	2
      1 さ	を
      1 この	ニュース
      1 この	よう
      1 こと	も
      1 こと	で
      1 こと	が
      1 こう	いっ
      1 けれど	捕らえ
      1 け	写真
      1 くれる	人
      1 くらい	だ
