     16 North	Korea
      9 Sky	News
      7 in	North
      5 the	country
      5 Rights	Watch
      5 Human	Rights
      4 at	the
      4 Kim	Jong
      4 Jong	Un
      3 the	report
      3 sexual	abuse
      3 of	the
      2 women	are
      2 who	fled
      2 weapons	programme
      2 violence	is
      2 to	the
      2 to	restart
      2 threatens	to
      2 the	mercy
      2 said	The
      2 restart	nuclear
      2 report	found
      2 part	of
      2 of	men
      2 nuclear	weapons
      2 mercy	of
      2 men	in
      2 it	was
      2 it	is
      2 is	an
      2 in	the
      2 in	power
      2 human	scum
      2 growing	evidence
      2 frequently	assaulted
      2 found	women
      2 extremely	dangerous
      2 endemic	in
      2 don	t
      2 dangerous	provocation
      2 country	is
      2 by	men
      2 being	treated
      2 assaulted	in
      2 an	extremely
      2 alleged	victims
      2 Watch	report
      2 Us	Sky
      2 R	Kelly
      2 Ocean	Rescue
      2 Korea	threatens
      2 Korea	s
      2 Korea	by
      2 Korea	North
      2 A	Human
      1 youtube	com
      1 younger	presenters
      1 you	the
      1 you	do
      1 you	cry
      1 years	and
      1 www	youtube
      1 women	were
      1 women	was
      1 women	said
      1 women	interviewed
      1 women	in
      1 woman	said
      1 with	one
      1 with	English
      1 will	lead
      1 will	end
      1 widespread	sexual
      1 widely	tolerated
      1 why	Those
      1 who	recounted
      1 where	they
      1 when	we
      1 when	the
      1 were	frequently
      1 week	The
      1 we	ll
      1 we	are
      1 was	unusual
      1 was	so
      1 was	endemic
      1 was	being
      1 was	a
      1 warns	of
      1 wall	will
      1 violence	in
      1 violence	Sexual
      1 victims	to
      1 victims	human
      1 victims	and
      1 verbal	abuse
      1 use	cookies
      1 us	sex
      1 urges	R
      1 upset	she
      1 unwanted	sexual
      1 unusual	Responding
      1 unfairly	as
      1 unaddressed	and
      1 trying	to
      1 treated	unfairly
      1 treated	like
      1 trader	said
      1 trader	in
      1 toys	We
      1 toy	at
      1 tolerated	secret
      1 to	victims
      1 to	tarnish
      1 to	suggest
      1 to	provide
      1 to	power
      1 to	investigate
      1 to	give
      1 to	follow
      1 to	deny
      1 to	denuclearisation
      1 to	come
      1 to	break
      1 to	be
      1 to	an
      1 to	Italy
      1 tide	of
      1 this	week
      1 thinks	it
      1 think	being
      1 think	about
      1 they	suffered
      1 they	forced
      1 they	felt
      1 they	d
      1 them	to
      1 their	findings
      1 the	women
      1 the	tide
      1 the	statement
      1 the	state
      1 the	previous
      1 the	nation
      1 the	market
      1 the	last
      1 the	image
      1 the	hostile
      1 the	hands
